# Summary:
# total steps taken: 108
# of which successful: 78
# of whichwkb: 17
# time, x, dx, wkb, Ai(-t)+i*Bi(-t)
1.0000085000047143069 (-780849.91910124069545,0) (780818.47214881808031,4099592.8151532257907) 0 (0.53556096963787325205,0.10399235429757051896) (-0.010156014826898270009,0.59237651038345051635)
1.061816055244710677 (-689265.08190051361453,248376.37419878030778) (2212134.7917415918782,3847213.0829211152159) 0 (0.53514456560763179471,0.067200375737614281846) (0.023966750075759005179,0.59782062895628274024)
1.1218836016775537434 (-512490.96611996419961,457012.75600943702739) (3661082.0641578892246,2981650.7707228008658) 0 (0.53266178927177132429,0.031183218690173427484) (0.05899340517120911509,0.60103708748512807425)
1.1759563808488731063 (-283571.64086904248688,582455.98579121287912) (4741546.6608257964253,1549979.9321470125578) 0 (0.52858622150221190594,-0.0013502854058314976444) (0.091966817563412836534,0.60195610817843192564)
1.2251961833281279635 (-35638.505344550241716,615355.89590650657192) (5219219.2426797039807,-290641.35064717428759) 0 (0.52329611192064684477,-0.030974156242184153892) (0.12306490398995018065,0.60099444168499260854)
1.2704233874760482159 (197072.88002836398664,557718.95650603086688) (4932380.9256853628904,-2285898.901006153319) 0 (0.51706894391443714021,-0.058104611119692263499) (0.15242656203971416407,0.59847570370300318121)
1.3122540455894247113 (383474.58684305712814,423106.37667279713787) (3834120.0113198440522,-4118102.3447318868712) 0 (0.51011432286779667677,-0.08306453714492834095) (0.18017373392643817875,0.59465853980370098064)
1.3511306235373670148 (499691.90096402232302,235203.5696906291123) (2019273.4087409167551,-5456463.9446773845702) 0 (0.50260136282044387546,-0.1060919004416626954) (0.20639216179318112254,0.58975834812605498758)
1.3873731083430023148 (532773.82530554290861,24661.391189861955354) (-273224.25834551593289,-6021875.9579463731498) 0 (0.49467352783588997012,-0.12736483192750394644) (0.23113993141684813226,0.58396249528635202353)
1.4212392898190209234 (482808.96967420110013,-175800.50575040906551) (-2692862.1993407821283,-5650738.995540718548) 1 (0.48645108982829349253,-0.1470339609238675016) (0.25447267933675915552,0.57743474332259603354)
1.4558326784773962803 (348300.60222787340172,-349000.9329844781314) (-5012323.7438462041318,-4169443.1452897926793) 1 (0.47723356831530178157,-0.16687762048955945282) (0.27845352239703963226,0.56962092148898035848)
1.5256996063786227857 (-95865.357250766392099,-448233.86290777934482) (-6749817.9905657861382,1832805.0945339426398) 1 (0.45608065289153731925,-0.20602495650181615328) (0.3270791992114724378,0.55017332307948496606)
1.7437534277052431086 (345448.75170612020884,142895.07590524762054) (2988613.1453282544389,-8032995.8465468101203) 1 (0.36846068640683016238,-0.31666573483297977276) (0.47464716352586744375,0.45596558753077337522)
1.9249939780076021911 (-9735.78090113842336,307391.76417250244413) (10423708.053506212309,67579.796123361695209) 1 (0.27243307671955618865,-0.38914126180523939125) (0.58145822540567904113,0.33784626951571067321)
2.2061396737428076165 (-10630.271771344363515,233280.05190264145494) (13792342.485716147348,454437.56867830536794) 1 (0.091928126627540310278,-0.4509331002673469535) (0.68751677380345077584,0.090133631465889471612)
2.3713810398448247341 (-194861.29856557660969,56128.737395777534402) (4814962.8873943686485,15324282.603548204526) 1 (-0.023321692606251834962,-0.45182367726743011271) (0.70029483447079143854,-0.081473456231990801224)
2.5089821667849490083 (-174460.56502424532664,46294.090936168424378) (5074127.4084696825594,17693411.4665889889) 1 (-0.11841108956699174237,-0.43039902698981918894) (0.67625735742594883515,-0.23012521591180390423)
2.6700665269077847874 (-142077.14732205771725,76910.200865973034524) (10670975.013076135889,18820541.094172023237) 1 (-0.2222146884243328957,-0.3795129020328220637) (0.60458843302945075582,-0.39988704643872180489)
2.8769127449660820695 (-88744.509378352115164,124697.93539964448428) (21800254.620687719434,15120945.503989592195) 1 (-0.33192011880785882161,-0.27640494661315800906) (0.44365367054256293899,-0.58954491148521737109)
3.1127977273538625091 (-174581.43126605448197,-24278.307300835203932) (-4569127.7411082591861,31835629.442773021758) 1 (-0.40677247581110825836,-0.11875577682893599663) (0.17869606480236630008,-0.73035594554305582893)
3.4136041293466097279 (145714.12279622684582,201576.53451871770085) (32690735.190085213631,-22449156.616264540702) 1 (-0.40022391808244539568,0.10713073737754816306) (-0.22736773558241965554,-0.73446838065892183778)
4.1564138831598853585 (-296795.94631842081435,308027.26995181344682) (25172615.182686932385,23529101.93914379552) 1 (0.054807669647537783641,0.39090011398997764891) (-0.7953434674992496678,0.13520067765703272511)
5.2544894552170280377 (103085.93065334936546,-180963.25049470947124) (-5072547.8571829171851,-2592438.0121357883327) 1 (0.21584826059043346613,-0.30352248168594986311) (0.70669367705141750147,0.48095114248039610994)
5.4173102698462685112 (71231.943923435275792,163701.02831914569833) (3738437.5377817740664,-1750044.9878130566794) 1 (0.088466430480798191605,-0.35888978995653342263) (0.84018390833217226898,0.1896364497405533811)
