# Summary:
# total steps taken: 69
# of which successful: 61
# of whichwkb: 5
# time, x, dx, wkb, Ai(-t)+i*Bi(-t)
5.3934107868204064218 (-821103.81827479717322,0) (827601.97575051547028,82099882.191170230508) 1 (0.10839942658123903618,-0.35380561367769824965) (0.82746549501120025827,0.23568343237577851768)
6.3934107868204064218 (-253007.35580785892671,160778.19237787715974) (6211323.8793983953074,9213286.9431936778128) 1 (-0.30040055861535291948,0.18860828806674423408) (-0.48888667587930645375,-0.75266773214315119134)
6.7214211664060687923 (12540.463425311170795,-215093.78167447148007) (-5764311.0248119086027,-118874.59618375485297) 1 (-0.059181727984391120645,0.3452720569672526052) (-0.89779225170530274625,-0.14070742764448621043)
7.1206714452946631155 (-89813.804611254541669,112794.55834451015107) (2116710.2286921255291,1500541.3977230871096) 1 (0.26636812036638762846,0.21973381736002195463) (-0.57727390082774987512,0.71879205375343691031)
7.4603050095954959176 (-100263.81086025678087,-21422.128064579566853) (-173508.50925713949255,1304055.9827707863878) 1 (0.33250990652899892197,-0.077024834335047490108) (0.221578654286969573,0.90596647236698801819)
7.7793138876222629463 (73821.956563576793997,-10240.946306110099613) (-168534.55988415246247,-674287.03221903555095) 0 (0.15064089902400332188,-0.30231503716755109279) (0.84830902919188810873,0.41060104456904544801)
7.8097234228505358899 (66152.46027330866491,-29185.679587482707575) (-328283.22166126605589,-565658.19043769151904) 0 (0.12433297091317621619,-0.31369806328612603874) (0.88091479994468457893,0.33755020259561985263)
7.853334412739221726 (48283.449470048275543,-49616.771174415371206) (-474775.55707064620219,-365872.1510513573885) 0 (0.085086746124443321526,-0.32605125276771879106) (0.91671571131253992704,0.22816221048215115652)
7.898352433916640436 (25373.515976545466401,-61144.883799709074083) (-527522.80397264519706,-147646.47356696336647) 0 (0.04325021394008008585,-0.3336991851317899771) (0.93949019646996578814,0.11104622948482248401)
7.9453206866352710236 (1049.3919604124894249,-63173.550475176904001) (-495703.11706269491697,54510.162163819244597) 0 (-0.0011245796622470557048,-0.33599096056002880628) (0.94733040624697617549,-0.01372336853041747004)
7.9943929518099334786 (-21095.596891088753182,-56361.4283143508801) (-398781.31336820044089,212957.88925773458323) 0 (-0.047452908618728639745,-0.33210394365769896341) (0.93780657380324650152,-0.14457753666357645028)
8.0457594681088462352 (-38173.304188933580008,-42592.412718379724538) (-263089.92213969130535,311778.71480168070411) 0 (-0.09495439098361478647,-0.32119975226373870258) (0.90841098181014678925,-0.27938153884099625746)
8.0996369992220937917 (-48353.036987686762586,-24553.41909310398114) (-116328.2961609037884,347314.07385934394551) 0 (-0.14259726287179591564,-0.30245421289091745098) (0.8566383136420900879,-0.41526757320866980461)
8.1562752344079427758 (-51016.824628699927416,-5237.839994722231495) (17228.878542261256371,326597.10070853127399) 0 (-0.18905235615279838979,-0.27510636018111839229) (0.78012160916027650792,-0.5484907562075632681)
8.2159644867675307722 (-46707.433611384061805,12541.767781640381145) (120112.85165959100414,264231.03649731533369) 0 (-0.23264433847375437514,-0.23852905321539979999) (0.67683207827633740106,-0.67427289396264955545)
8.2790460909500644959 (-36901.303264710462827,26554.167549230609438) (183270.98794625626761,178525.2471513604396) 0 (-0.2713045139787192972,-0.19232861201291584496) (0.545365824025283219,-0.78664534946317998809)
8.3459269749946081163 (-23663.890039881574921,35408.558719769505842) (205924.66746125739883,87703.290785853809211) 0 (-0.30253194796710358716,-0.13648274817244385182) (0.38534689046116632483,-0.87830949874701569335)
8.417101085730363863 (-9257.9818084549406194,38647.620527201077493) (194011.78808536854922,6850.0556254096154589) 0 (-0.32337418675252893596,-0.071528163140589684499) (0.19798354102138721045,-0.94054658541814684103)
8.4931826475086253936 (4224.8248559285348165,36680.549854361292091) (157755.5617153076164,-53984.530403726006625) 0 (-0.33044529387291304845,0.0011884370417921670364) (-0.013176411424215522805,-0.96322820373041828645)
8.574961188165119097 (15151.575236391927319,30588.503668274650408) (108970.9558598320582,-90396.376804594969144) 0 (-0.32000786006886405843,0.07917897578949505133) (-0.24123321466071287467,-0.93500605658923408026)
8.6635002228762836296 (22517.207138674104499,21852.661823209418799) (58661.467534315837838,-103090.21311802789569) 0 (-0.28815706630234605434,0.1583790086620835702) (-0.47458482587763367588,-0.84379541704559590798)
8.7603345017087441704 (25982.85515236746869,12062.042979386887964) (15303.009260323691706,-96526.49592350742023) 0 (-0.23115580566021518005,0.23256616586579748063) (-0.6950928618617814303,-0.67770222743262920062)
8.8679298397989310132 (25792.007434085528075,2654.0541051100080949) (-15992.164178680082841,-77174.795273324212758) 0 (-0.14596270764523128216,0.29250903356364865715) (-0.87536832746960502316,-0.42652499195031867707)
8.9910379077355955246 (22580.138766167408903,-5272.0522955310170801) (-33422.624742133513791,-51766.730976440696395) 0 (-0.030868662476327187599,0.32431555511093945743) (-0.97352741987295532411,-0.08357344909099877206)
9.129602261469115021 (17517.066128291524365,-10691.217905182365939) (-37667.912257530850184,-27622.636281702612905) 0 (0.10278986400646004939,0.30783145517045051864) (-0.92749870234380105138,0.31906464017242669451)
9.2708684757514614461 (12426.379714811631857,-13307.749810714434716) (-33550.555608825059608,-10715.160791649428575) 0 (0.22057240094881791492,0.23636665210640583901) (-0.71389102962329720192,0.67809867825505254491)
9.4118060428079388657 (8178.313304586711638,-14046.391269909518087) (-26563.833820077448763,-758.37610867040348239) 0 (0.29800500071917107592,0.12218738979221653584) (-0.36701769337515166569,0.91765222584443850717)
9.5520968486588095914 (4948.2471705214211397,-13754.82561323182199) (-19618.889475704781944,4269.9506516548535728) 0 (0.3205979454430690212,-0.013781260728949445982) (0.050982433833601577267,0.9906716137297683078)
9.6929624375727101437 (2610.9036929149610842,-12985.964266528408189) (-13796.952136276233432,6265.9389327038570627) 0 (0.28359220200651347188,-0.14764223788865676879) (0.46704778070390967626,0.87926926366616997566)
9.8340584493012244138 (992.97197051234888932,-12067.353703020467947) (-9364.417638081642508,6556.5342040766881837) 0 (0.19275513069888353113,-0.25363946980267360054) (0.80042129014591856251,0.59812392082321730324)
9.9762887905047090698 (-97.762470124144783767,-11167.75408267163948) (-6163.5833961259277203,6004.7051182896020691) 0 (0.063728804703353930661,-0.31096753985866665282) (0.98394871651640836152,0.19353531764799325465)
10.120024972391338025 (-813.70127693376684874,-10366.77736118753819) (-3944.0705935035557559,5114.1921496578861479) 0 (-0.079343247034660391304,-0.30618515387893197044) (0.97222386760493817448,-0.26000160627898860621)
10.265437041856035449 (-1271.2895667451887221,-9692.8437087083893857) (-2455.0051252426819701,4161.2422065032696992) 0 (-0.20731485925265807913,-0.23739159090855832535) (0.75566103239206472431,-0.67010301151316831181)
10.41255377909079094 (-1555.6914420953694389,-9146.8068728129892406) (-1484.3606938197794989,3282.3984529931294674) 0 (-0.29167293474099004191,-0.11643657838292705009) (0.36877795228970661201,-0.94410763028337962854)
10.561307024310426783 (-1727.0362105271299242,-8716.1272153985119076) (-868.28856870346851338,2532.8481574318184357) 0 (-0.31131893889942247045,0.031852803952719388469) (-0.11089295469468317401,-1.0111098147480774845)
10.711562833842522835 (-1826.4930939557309557,-8383.1166728271728061) (-487.36601843907925513,1923.5911991948053128) 0 (-0.25876394420039455779,0.1740302503447270499) (-0.57568231280208270739,-0.84294490811629907423)
10.86314752519516702 (-1881.4733701242566895,-8129.4520460817511776) (-258.21662015338517904,1444.015501740913578) 0 (-0.14372017592452990264,0.27551670788686977165) (-0.91149898698384956841,-0.4674130518950893598)
11.015870040678018782 (-1909.7518093464095728,-7938.408049292746) (-124.59109708658473892,1074.8732322518842466) 0 (0.0075487504054938632178,0.30957506464350953435) (-1.0274333203410102033,0.032078106881179291321)
11.169540022548654079 (-1922.5585068569653231,-7795.7539852890722614) (-49.622271950238612703,795.22660056609652202) 0 (0.15766607666532833631,0.26528028260823566242) (-0.8831621658566978228,0.5329261627710799587)
11.323980736434375416 (-1926.8017233762716387,-7689.9134666611953435) (-9.7554404407255219667,585.78457985624743287) 0 (0.26741347941334470129,0.15189154399722151756) (-0.50528706564727554618,0.90332414862085652629)
11.479036699327673787 (-1926.6099971524840839,-7611.7559102613022333) (9.7079068874282548052,430.19848046487516058) 0 (0.30648943241656922964,-0.0021633193869312027091) (0.014001102264844913006,1.0384684222822688771)
11.634576737502417387 (-1924.3690537188779217,-7554.2370604130937863) (17.731566999256433093,315.28629297465607806) 0 (0.26264847822914572095,-0.15596974554723733175) (0.53769795848448442843,0.89261995347696865277)
11.790493721892849166 (-1921.3996508534241912,-7512.0086656679195585) (19.652839086801087376,230.75643072218645102) 0 (0.14630160371649139628,-0.26699805552079308724) (0.91998647960375246058,0.49674974968149915311)
11.946702299135479208 (-1918.3893673539155316,-7481.0572133424448111) (18.564939138926220608,168.74682088474543207) 0 (-0.011204853374828066884,-0.30324729308068876232) (1.0480055117609421433,-0.045074361238642085548)
12.103135702329417711 (-1915.6610063479424753,-7458.3961201525635261) (16.201343044270693383,123.34058220545985307) 0 (-0.16561979644973645609,-0.25309650211168799316) (0.87716986716238598554,-0.58145984424297358917)
12.259742382253120851 (-1913.3354566402524597,-7441.8163397618982344) (13.489506435219722036,90.130629970106028281) 0 (-0.2721730024047838703,-0.12970621389980754867) (0.44864334847181608357,-0.9557085154071380817)
12.416482884724748814 (-1911.4280300873724627,-7429.6908636755797488) (10.890872728225090782,65.857782851986101491) 0 (-0.29886047372013113677,0.031764320243340686545) (-0.11795162831683565774,-1.0525421076033125711)
12.573327166800410737 (-1909.9038063149944264,-7420.8248778810757358) (8.6057366545955726878,48.123484882436741827) 0 (-0.23662010847665720936,0.18377322335462575875) (-0.65639313653870590137,-0.83544211422640468623)
